自治体コード,都道府県名,市区名,緯度(北緯)[60進数],経度(東経)[60進数]
1,北海道,札幌市, 43°03′52″, 141°20′49″
2,青森県,青森市, 40°49′29″, 140°44′26″
3,岩手県,盛岡市, 39°42′13″, 141°09′10″
4,宮城県,仙台市, 38°16′07″, 140°52′20″
5,秋田県,秋田市, 39°43′07″, 140°06′09″
6,山形県,山形市, 38°14′26″, 140°21′49″
7,福島県,福島市, 37°45′00″, 140°28′04″
8,茨城県,水戸市, 36°20′30″, 140°26′49″
9,栃木県,宇都宮市, 36°33′57″, 139°53′01″
10,群馬県,前橋市, 36°23′27″, 139°03′38″
11,埼玉県,さいたま市, 35°51′25″, 139°38′56″
12,千葉県,千葉市, 35°36′16″, 140°07′23″
13,東京都,新宿区, 35°41′22″, 139°41′30″
14,神奈川県,横浜市, 35°26′52″, 139°38′33″
15,新潟県,新潟市, 37°54′09″, 139°01′24″
16,富山県,富山市, 36°41′43″, 137°12′41″
17,石川県,金沢市, 36°35′41″, 136°37′32″
18,福井県,福井市, 36°03′55″, 136°13′18″
19,山梨県,甲府市, 35°39′51″, 138°34′06″
20,長野県,長野市, 36°39′05″, 138°10′51″
21,岐阜県,岐阜市, 35°23′28″, 136°43′25″
22,静岡県,静岡市, 34°58′37″, 138°22′59″
23,愛知県,名古屋市, 35°10′49″, 136°54′24″
24,三重県,津市, 34°43′49″, 136°30′31″
25,滋賀県,大津市, 35°00′16″, 135°52′07″
26,京都府,京都市, 35°01′17″, 135°45′20″
27,大阪府,大阪市, 34°41′11″, 135°31′12″
28,兵庫県,神戸市, 34°41′29″, 135°10′59″
29,奈良県,奈良市, 34°41′07″, 135°49′58″
30,和歌山県,和歌山市, 34°13′34″, 135°10′03″
31,鳥取県,鳥取市, 35°30′12″, 134°14′18″
32,島根県,松江市, 35°28′20″, 133°03′02″
33,岡山県,岡山市, 34°39′42″, 133°56′06″
34,広島県,広島市, 34°23′48″, 132°27′35″
35,山口県,山口市, 34°11′10″, 131°28′14″
36,徳島県,徳島市, 34°03′57″, 134°33′33″
37,香川県,高松市, 34°20′24″, 134°02′36″
38,愛媛県,松山市, 33°50′30″, 132°45′57″
39,高知県,高知市, 33°33′35″, 133°31′52″
40,福岡県,福岡市, 33°36′23″, 130°25′05″
41,佐賀県,佐賀市, 33°14′58″, 130°17′56″
42,長崎県,長崎市, 32°45′00″, 129°52′02″
43,熊本県,熊本市, 32°47′23″, 130°44′30″
44,大分県,大分市, 33°14′17″, 131°36′46″
45,宮崎県,宮崎市, 31°54′40″, 131°25′26″
46,鹿児島県,鹿児島市, 31°33′37″, 130°33′29″
47,沖縄県,那覇市, 26°12′45″, 127°40′51″
